iter	Logloss
0	0.6647646631
1	0.6474815362
2	0.6303404016
3	0.6161609909
4	0.6058029495
5	0.6002336676
6	0.5954834236
7	0.5869815786
8	0.5852665258
9	0.5787978854
10	0.5758645576
11	0.5734433477
12	0.5722879859
13	0.5710281853
14	0.5697419544
15	0.5686389345
16	0.5677243383
17	0.5664120088
18	0.565637865
19	0.5647768887
20	0.5639991189
21	0.5630789391
22	0.562430265
23	0.5618530969
24	0.5610530921
25	0.5606570238
26	0.5598151424
27	0.5592988673
28	0.5585521184
29	0.5580147092
30	0.5568332464
31	0.5563341906
32	0.5557801184
33	0.5552613741
34	0.554915068
35	0.5543329753
36	0.5524472611
37	0.5521311176
38	0.5515896374
39	0.5510940811
40	0.5507381817
41	0.5502816317
42	0.549656477
43	0.5488681798
44	0.5484213127
45	0.5481121911
46	0.5476976466
47	0.5470954763
48	0.546434498
49	0.5458318994
50	0.543849768
51	0.5433145573
52	0.5428610684
53	0.5425993384
54	0.5422974624
55	0.5418013013
56	0.5414172637
57	0.5401561822
58	0.5395480221
59	0.5392909519
60	0.5388817883
61	0.5385853901
62	0.537180246
63	0.5367303411
64	0.5362691211
65	0.5358243267
66	0.5354164015
67	0.5350894864
68	0.5347534221
69	0.5342587303
70	0.5339705234
71	0.5333976487
72	0.5329732085
73	0.5325908651
74	0.5322363512
75	0.5318684241
76	0.531544404
77	0.5313119807
78	0.5309374142
79	0.5305979075
80	0.5302029548
81	0.5298865728
82	0.5295882781
83	0.5292433745
84	0.5287567832
85	0.5285057266
86	0.5281608109
87	0.5278633981
88	0.5275331257
89	0.5268534787
90	0.5267152652
91	0.5264667793
92	0.5261238286
93	0.5257303913
94	0.5253632914
95	0.5249590056
96	0.5242967241
97	0.5239760053
98	0.5237040723
99	0.5232323526
100	0.5229879122
101	0.522602664
102	0.5223819191
103	0.5221114972
104	0.5218079509
105	0.5212739987
106	0.5210126702
107	0.5206842263
108	0.5200735798
109	0.5197776219
110	0.519556531
111	0.5187353159
112	0.5177216642
113	0.5173123251
114	0.5170914802
115	0.5169037107
116	0.5167574189
117	0.5164629271
118	0.5160481246
119	0.5155670503
120	0.5150402023
121	0.5145637014
122	0.5143022136
123	0.5139663901
124	0.5136041348
125	0.5133640492
126	0.5129003463
127	0.5126671052
128	0.5123628887
129	0.5120546691
130	0.5117843513
131	0.5116609358
132	0.5115211483
133	0.5106032062
134	0.5101699818
135	0.5097414501
136	0.5095038905
137	0.5090892277
138	0.508825763
139	0.5084907029
140	0.507526579
141	0.5071806519
142	0.5066903963
143	0.5064297397
144	0.5062424226
145	0.5059317468
146	0.505595325
147	0.5051745947
148	0.5048967039
149	0.5046283471
150	0.5043480119
151	0.5042225851
152	0.5038694681
153	0.5037286806
154	0.5034289257
155	0.5031218051
156	0.5028417535
157	0.5026024815
158	0.50236073
159	0.5021652816
160	0.5015307505
161	0.501162815
162	0.5010058614
163	0.5005695728
164	0.5001451745
165	0.4999005751
166	0.4997422461
167	0.4993499444
168	0.4991808517
169	0.4988988982
170	0.4985281413
