iter	Passed	Remaining
0	3	1625
1	6	1501
2	8	1468
3	11	1445
4	14	1446
5	17	1433
6	20	1420
7	22	1404
8	26	1423
9	28	1406
10	31	1394
11	34	1384
12	36	1372
13	39	1369
14	42	1366
15	44	1360
16	47	1353
17	50	1350
18	53	1344
19	55	1337
20	58	1333
21	61	1332
22	63	1323
23	66	1321
24	69	1320
25	71	1311
26	74	1306
27	77	1305
28	80	1301
29	82	1297
30	85	1292
31	87	1285
32	90	1284
33	93	1280
34	96	1275
35	98	1273
36	101	1271
37	104	1271
38	107	1267
39	109	1262
40	112	1258
41	115	1255
42	117	1253
43	120	1251
44	123	1249
45	126	1244
46	128	1240
47	131	1238
48	134	1235
49	137	1233
50	139	1229
51	142	1227
52	145	1225
53	147	1220
54	150	1218
55	153	1215
56	155	1211
57	158	1208
58	161	1205
59	163	1202
60	166	1199
61	169	1195
62	171	1192
63	174	1189
64	177	1186
65	179	1182
66	182	1178
67	185	1175
68	187	1172
69	190	1170
70	192	1165
71	195	1162
72	198	1160
73	201	1157
74	204	1156
75	206	1154
76	209	1151
77	212	1148
78	215	1147
79	217	1143
80	220	1141
81	223	1137
82	225	1132
83	228	1130
84	230	1126
85	233	1124
86	236	1121
87	238	1117
88	240	1112
89	243	1109
90	246	1106
91	248	1103
92	251	1100
93	254	1098
94	257	1096
95	259	1093
96	262	1090
97	265	1087
98	267	1083
99	270	1080
100	272	1075
101	274	1072
102	277	1068
103	279	1065
104	282	1062
105	285	1059
106	287	1057
107	290	1054
108	293	1052
109	296	1049
110	298	1046
111	301	1044
112	304	1041
113	306	1038
114	308	1034
115	311	1030
116	313	1027
117	316	1023
118	318	1020
119	321	1017
120	324	1015
121	327	1013
122	329	1010
123	332	1008
124	335	1006
125	338	1004
126	340	1001
127	343	997
128	346	995
129	348	992
130	351	990
131	354	987
132	356	984
133	359	981
134	362	978
135	364	976
136	367	973
137	370	970
138	372	967
139	375	965
140	378	963
141	380	959
142	383	957
143	386	955
144	389	952
145	392	950
146	394	948
147	397	945
148	400	943
149	403	940
150	405	937
151	408	935
152	411	932
153	413	930
154	416	927
155	419	924
156	421	921
157	424	918
158	427	915
159	429	913
160	432	910
161	435	907
162	437	905
163	440	902
164	443	899
165	446	897
166	448	895
167	452	893
168	454	890
169	457	887
170	459	884
171	462	882
172	465	879
173	467	876
174	470	873
175	473	871
176	476	868
177	479	866
178	481	863
179	484	861
180	486	858
181	489	855
182	492	852
183	495	850
184	497	847
185	500	844
186	503	842
187	505	839
188	508	836
189	511	834
190	513	831
191	516	828
192	519	825
193	521	822
194	524	820
195	527	817
196	529	814
197	532	812
198	535	809
199	538	807
200	540	804
201	543	801
202	546	799
203	549	797
204	552	794
205	555	792
206	557	789
207	560	786
208	562	783
209	565	781
210	568	778
211	571	775
212	573	773
213	576	770
214	579	767
215	582	765
216	584	762
217	587	760
218	590	757
219	592	754
220	595	751
221	598	749
222	600	746
223	603	743
224	606	741
225	609	738
226	611	735
227	614	732
228	616	729
229	619	727
230	622	724
231	624	721
232	626	718
233	629	715
234	632	712
235	634	710
236	637	707
237	640	704
238	642	701
239	645	699
240	648	697
241	651	694
242	653	691
243	656	688
244	658	685
245	661	682
246	664	680
247	666	677
248	669	674
249	671	671
250	674	669
251	677	666
252	679	663
253	682	660
254	684	657
255	687	655
256	689	651
257	692	649
258	694	646
259	697	643
260	699	640
261	702	638
262	705	635
263	708	633
264	711	631
265	714	628
266	717	625
267	720	623
268	722	620
269	725	618
270	728	615
271	730	612
272	733	610
273	736	607
274	739	604
275	741	602
276	744	599
277	747	596
278	749	594
279	752	591
280	755	588
281	757	585
282	760	582
283	762	580
284	765	577
285	767	574
286	770	571
287	772	568
288	775	566
289	777	563
290	780	560
291	783	558
292	786	555
293	789	552
294	791	550
295	794	547
296	797	545
297	801	542
298	803	540
299	806	537
300	809	535
301	812	532
302	814	529
303	817	527
304	820	524
305	822	521
306	825	518
307	827	515
308	830	513
309	833	510
310	836	508
311	838	505
312	841	502
313	843	499
314	846	497
315	849	494
316	851	491
317	854	489
318	857	486
319	859	483
320	862	480
321	865	478
322	867	475
323	870	472
324	872	469
325	874	466
326	877	464
327	880	461
328	883	459
329	885	456
330	887	453
331	890	450
332	893	447
333	895	445
334	898	442
335	901	439
336	904	437
337	906	434
338	909	432
339	912	429
340	915	427
341	918	424
342	921	421
343	923	418
344	926	416
345	929	413
346	932	411
347	934	408
348	937	405
349	940	402
350	943	400
351	945	397
352	948	394
353	951	392
354	953	389
355	955	386
356	958	384
357	962	381
358	964	378
359	967	376
360	970	373
361	973	370
362	976	368
363	978	365
364	981	362
365	984	360
366	987	357
367	990	355
368	996	353
369	999	351
370	1002	348
371	1005	346
372	1008	343
373	1011	340
374	1014	338
375	1017	335
376	1019	332
377	1022	330
378	1025	327
379	1028	324
380	1031	322
381	1034	319
382	1036	316
383	1039	314
384	1042	311
385	1044	308
386	1047	305
387	1050	303
388	1053	300
389	1056	298
390	1059	295
391	1062	292
392	1067	290
393	1071	288
394	1074	285
395	1077	282
396	1080	280
397	1082	277
398	1085	274
399	1088	272
400	1090	269
401	1093	266
402	1096	263
403	1099	261
404	1102	258
